Equipment County,Equipment Borough,Equipment Street No.,Equipment Street Address,Equipment City,Equipment Zip Code,Equip. Unique ID,Intended Use,Manufacturer,Model,Cooling Capacity,Cooling Capacity Unit,Commissioned Date,Inspection Date,Date of Bacteriological Sample Collection,Date of Legionella Sample Collection ,"Last Legionella Sample Result > 1,000 CFU/mL",Location 1
New York,Manhattan,300,East 42 street,New York,10017,2305,Air Conditioning,Phillips,1023,400,Tonnage,1/1/62,6/30/17,6/30/17,6/30/17,no,"(40.7495878332153, -73.97203711927308)"
New York,Manhattan,330,Madison Avenue,New York,10017,2365,Air Conditioning,Phillips Cooling Tower,4 DA285,2000,Tonnage,1/1/62,5/24/16,8/12/15,6/29/16,no,"(40.75303869788386, -73.97929988861046)"
Monroe,,1,East Avenue,Rochester,14604,8222,Air Conditioning,Marley,14,400,Tonnage,1/1/62,4/21/17,9/29/16,4/21/17,no,"(43.15727033929792, -77.60440245624376)"
New York,Manhattan,100,West 57th Street,New York,10019,9007,Air Conditioning,Phillips,DA28S,475,Tonnage,1/1/62,11/2/15,8/22/15,8/22/15,no,"(40.764323845931884, -73.97760271711515)"
New York,Manhattan,1407,BROADWAY,New York,10018,11259,Air Conditioning,MARLEY,458.114,2400,Tonnage,1/15/62,7/18/17,8/4/17,7/18/17,no,"(40.75316140023674, -73.98743886491198)"
New York,Manhattan,1407,BROADWAY,New York,10018,11260,Air Conditioning,BAC,15282,282,Tonnage,1/15/62,7/18/17,8/4/17,7/18/17,no,"(40.75316140023674, -73.98743886491198)"
New York,Manhattan,408,West 114 Street,New York,10025,219,Air Conditioning,Marley,N/A,250,Tonnage,3/1/62,10/20/16,10/20/16,10/20/16,no,"(40.804966265, -73.960966795)"
New York,Manhattan,201,East 62 Street,New York,10065,3002,Air Conditioning,EVAPCO,AT 8-424 B,,BTU,3/1/62,6/19/17,6/18/17,6/18/17,no,"(40.763398306, -73.964875544)"
New York,Manhattan,215,east 68th street,New York,10065,5787,Air Conditioning,Marley,custom built,1500,Tonnage,4/1/62,8/23/16,8/23/16,9/6/16,no,"(40.766524055, -73.960604526)"
New York,Manhattan,1290,Avenue Of The Americas,New York,10019,2092,Air Conditioning,Baltimore Air Coil Co. (BAC),TMA,500,Tonnage,6/26/62,5/22/17,5/22/17,5/22/17,no,"(40.76073649129862, -73.97948875911185)"
New York,Manhattan,393,Seventh Avenue,New York,10001,2219,Air Conditioning,Phillips Cooling Tower,4-337C,3000,Tonnage,7/1/62,5/23/16,8/17/15,6/1/16,no,"(40.749370466, -73.991719259)"
New York,Manhattan,11,Penn Plaza,New York,10001,2223,Air Conditioning,Phillips Cooling Tower,4-337C,3000,Tonnage,7/1/62,5/23/16,11/2/15,6/1/16,no,"(40.749376228, -73.991512909)"
New York,Manhattan,1,Whitehall Street,NY,10004,3711,Air Conditioning,Marley,Custom Built,1400,Tonnage,7/23/62,6/20/17,7/24/17,6/29/17,no,"(40.703785752, -74.013011921)"
Queens,Queens,104-70,Queens Blvd,Forest Hills,11375,1757,Air Conditioning,Marley Super Aqua Tower,47100,100,Tonnage,8/2/62,,,8/19/15,no,"(40.723072255, -73.848390859)"
Bronx,Bronx,477,East Fordham Rd,Bronx,10458,1744,Air Conditioning,Marley,Aquatower 494,30,Tonnage,9/25/62,11/1/16,10/19/16,8/11/16,yes,"(40.862910396, -73.885962228)"
Kings,Brooklyn,2701,West 6th Street,Brooklyn,11224,9919,Other,Marley,6B-676CS,8000,Tonnage,10/15/62,8/3/17,8/21/17,8/18/17,no,"(40.58122993567435, -73.97366128752742)"
Onondaga,,318,Erie Boulevard E,Syracuse,13202,3948,Air Conditioning,BAC,F1722HM,50,Tonnage,10/25/62,5/16/16,6/23/17,5/16/17,no,"(43.05062980514971, -76.14894563872473)"
New York,Manhattan,330,Madison Avenue,New York,10017,2304,Air Conditioning,Phillips Cooling Tower,4DA285,2000,Tonnage,11/30/62,5/10/17,5/10/17,5/10/17,no,"(40.75303869788386, -73.97929988861046)"
New York,Manhattan,135,West 50th Street,New York,10019,9777,Air Conditioning,Phillips,4DA 225,2400,Tonnage,12/1/62,8/10/17,8/25/17,8/17/17,no,"(40.76062669632073, -73.98192227209103)"
New York,Manhattan,1290,Avenue Of The Americas,New York,10019,2387,Air Conditioning,Marley,68-674-C-5,7000,Tonnage,1/1/63,5/22/17,5/22/17,5/22/17,no,"(40.76073649129862, -73.97948875911185)"
